Start,End,Date Time,Survey Location,Include National,,Community,Rurality,Expert Type,Expert Type.other,Gender,Expert Title,Name of Organization,Type.Human Rights,Type.Sexual and Gender Based Violence,Type.Health and Reproductive Rights,Type.Land,Type.Economic and Financial Services,Type.Agriculture,Type.Education,Type.Local Community Participation,Type.Other,Type.NA,Type.Describe Other,WInfo.To be Treated Equally with All Others,Winfo.To be Free from Violence,WInfo.To be able to Join Groups,Winfo.Right to go Court if any Rights are Violated,Winfo.Right to Education,Winfo.Right_ to Own Property,Winfo.Right to Information,Winfo.Right to Work under Reasonable Hours,"Seminal:Same F,E,RoS as men?",Seminal.Explain,Women Interested in Information,Women Interested in Information.why,Women Interested National Gov,Women Interested National Gov.why,Women Interested Local Gov,Women Interested Local Gov.why,Info.National Government Office,Info.Local Government Office,Info.Local/Community NGOs,Info.Educational Institutions,Info.Places of Worship/Religious,Info.Traditional Leaders,Info.Village Elders,Info.Husband,Info.Other Family Members,Info.Friends,Info.Radio,Info.Television,Info.Newspaper,Info.Town Crier,Info.Internet/Cell Phone,Info.Other,Info.OtherExplain,Issue.Don't Know Where to Ask,Issue.Fear of Asking,Issue.Domestic Duties,Issue.Getting to Public Offices (Distance),Issue.Family Nonsupportive,Issue.Confidence,Issue.Mindset of Gov Offical,Issue.Illiteracy,Issue.Women Ignored in Public,Issue.Language,Issue.Culturally Not Allowed,Issue.Safety Concerns,Issue.Information not Important to Women,Issue.Women Not Allowed in Public,Issue.Other,Issue.Other Explain ,Original Barrier 1,Barrier 1,Original Barrier 2,Barrier 2,Original Barrier 3,Barrier 3,Possible Solutions,"Consequence of less awareness for women
",How Important.Rights,Rights.Freedom from Violence,Rights./Property Ownership/Land Rights,Rights.How the Justice System Works,Rights.Labor Law/Rights,Rights.Public Participation,Rights.Education,Rights.Marital.Family Rights,Rights.Health and Reproductive Rights,Rights.Freedom of Expression,Rights.Right to Information,Rights.Social Services,Rights.Anti-Discrimination,Rights.Please Explain,How important.Econ,Econ.Access to Banks,Econ.Vocational Training,Econ.Technology Training,Econ.Educational Opportunities,Econ.Job Opportunities,Econ.Land/Property Ownership,Econ.Scholarships,Econ.How to Start a Buisness,Econ.How to Get a Trade License,Econ.Social Development Funds,Econ.Please Explain,Original Most Important,Most Important,Original Second Most Important,Second Most Important,Original Third Most Important,Third Most Important,Anything Else,Enumerator Notes,Other Thoughts,__version__,meta/instanceID,_id,_uuid,_submission_time,_date_modified,_tags
2023-02-09T11:39:41.953Z,2023-03-02T12:31:38.038Z,2023-02-09T10:51:00.000Z,Freetown,1,0.987043455,Brookfields,Urban,Government Official,n/a,Male,Trade Officer,Ministry of Trade and Industry,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,Prejudice against women in leadership roles.,Very,Very,Very,Very,Very,Very,Very,Very,Yes,Of course women have ample access to information same as men. The country maintains a law that provides their rights to access information for all it's citizens (both men and women). We recently signed a bill extending the right of women in the country.,Yes,n/a,Yes,n/a,Yes,n/a,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,n/a,Small Barrier,Not a Barrier,Large Barrier,Not a Barrier,Small Barrier,Not a Barrier,Small Barrier,Large Barrier,Small Barrier,Small Barrier,Large Barrier,Small Barrier,Not a Barrier,Not a Barrier,"Key barriers stopping women from accessing information can be identified in options marked above (3,5,8,10,11 & 12).",Yes,Domestic Duties,Domestic Duties,Illiteracy,Illiteracy,Culturally not appropriate.,Culturally Not Allowed,"Regarding the aspect of domestic activities holding back women from accessing information, I think they must be made aware of the power of information and educating their men on their rights to have free access to information. The same solution applies to the other problems highlighted.","As a consequence of lack of information, it could lead to backward society where women could be seen loosing rights to educated men",Very Important,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,"Women are as much part of society as men are. Therefore, they deserve to enjoy all of the above rights as much as men",Very Important,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"Everyone, not just women, needs access to all the above in order to be self sufficient. The multiple ways listed above greatly help to capacitate an individual for economic growth.",Bank loans,Access to Banks,Scholarships,Scholarships,Trade,How to Get a Trade License,"Women should be helped with capital to start up a business, and promotes individual capacitation, as an educated woman is an empowered one .",The mindset of the respondent was clear when expressing his views and taught.,n/a,vzDogTF4K4rZB6rUJRhmkz,uuid:2daf90b6-ce93-4106-af1a-46726d6466bb,110046378,2daf90b6-ce93-4106-af1a-46726d6466bb,2023-03-02T12:39:24,2023-03-02T12:39:24,
2023-02-27T14:44:27.531Z,2023-02-27T15:03:33.314Z,2023-02-27T15:04:00.000Z,Bombali,1,0.431589669,Makani ,Urban,Academic Professor,n/a,Male,Lecturer ,University of Makeni ,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,n/a,Not at all,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,No,They always like to take the back seat in fighting for their right,Yes,n/a,Yes,n/a,Yes,n/a,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,n/a,Not a Barrier,Small Barrier,Large Barrier,Not a Barrier,Small Barrier,Small Barrier,Small Barrier,Small Barrier,Small Barrier,Small Barrier,Small Barrier,Small Barrier,Small Barrier,Small Barrier,They need to ask questions ,n/a,Culture barrier ,Culturally Not Allowed,Fear of repraisal,Fear of Asking,Domestic work ,Domestic Duties,The government need to put more emphasis on sensitization ,Most time they are just afraid to ask certain question ,Very Important,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,n/a,Very Important,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,All of them are needed for women to make massive improvement in their lives.,Access to bank loan ,Access to Banks,Increase educational opportunities ,Education,Increase job opportunities ,Job Opportunities,More sensitization is needed in this area ,Yes,n/a,vzDogTF4K4rZB6rUJRhmkz,uuid:e3d7962c-434b-4cfe-8f2c-53a2051fb59c,111181583,e3d7962c-434b-4cfe-8f2c-53a2051fb59c,2023-03-20T12:07:30,2023-03-20T12:07:30,
2023-02-27T15:04:53.408Z,2023-02-28T17:04:18.300Z,n/a,Bombali,1,0.379042506,Makeni community,Urban,NGO/International Community,n/a,Male,n/a,Ta Marenneh,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,n/a,Somewhat,Somewhat,Somewhat,Not at all,Not at all,Not at all,Not at all,Not at all,Yes,There is NGO'S presence in this community,Yes,n/a,Yes,n/a,Yes,n/a,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,n/a,Small Barrier,Small Barrier,Small Barrier,Small Barrier,Small Barrier,Small Barrier,Small Barrier,Small Barrier,Small Barrier,Small Barrier,Small Barrier,Small Barrier,Small Barrier,Small Barrier,Noon,n/a,Domestic duty,Domestic Duties,Lack the confidence to seek for information,Confidence,Fear for asking for repraisal,Fear of Asking,All of us must put more effort in sensitization,It doesn't help to strengthen the Democratic government.,Very Important,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,All of this issues required a lot of attention,Very Important,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,All of this issues help to develop a country,Access to bank loan,Access to Banks,More scholarships are needed,Scholarships,Job opportunities,Job Opportunities,The government needs to do more in the area of human rights,Yes,n/a,vzDogTF4K4rZB6rUJRhmkz,uuid:41af0707-4b00-4c2e-bac2-5ec6451fce7b,111181596,41af0707-4b00-4c2e-bac2-5ec6451fce7b,2023-03-20T12:07:31,2023-03-20T12:07:31,
2023-02-28T13:20:34.059Z,2023-02-28T15:03:28.601Z,2023-02-28T14:01:00.000Z,Bombali,1,0.420960131,Makani Township,Urban,Academic Professor,n/a,Male,Lecturer,E B K College,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,n/a,Somewhat,Not at all,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Not at all,No,Women are afraid ok f asking for their right,Yes,n/a,Yes,n/a,Yes,n/a,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,n/a,Small Barrier,Small Barrier,Small Barrier,Small Barrier,Small Barrier,Small Barrier,Small Barrier,Small Barrier,Small Barrier,Small Barrier,Small Barrier,Small Barrier,Small Barrier,Small Barrier,Noon,Yes,Fear for asking for repraisal,Fear of Asking,Domestic Duties,Domestic Duties,High level of illiteracy,Illiteracy,Government need to do more in this area of access to information,It would be a negative impact because it would help in the development of the country,Very Important,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,All this issues are needed,Very Important,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"All this facilities are useful towards development 
More jobs opportunities",Access to leon,Access to Banks,More educational opportunities,Education,Vocational opportunities,Vocational Training,We need to do more in the area of sensitization,Yes,n/a,vzDogTF4K4rZB6rUJRhmkz,uuid:ffe19452-6aaa-4525-b5d5-c99f9d761f1e,111181605,ffe19452-6aaa-4525-b5d5-c99f9d761f1e,2023-03-20T12:07:33,2023-03-20T12:07:33,
2023-02-28T15:03:54.444Z,2023-02-28T15:34:45.768Z,2023-02-28T15:24:00.000Z,Bombali,1,0.268040206,Makani Township ,Urban,NGO/International Community,n/a,Female,Wemen's Leaders ,Women's empowerment for women's,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,n/a,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Not at all,Somewhat,Somewhat,No,It is because they always afraid of seeking for what they want,Yes,n/a,Yes,n/a,Yes,n/a,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,n/a,Not a Barrier,Not a Barrier,Not a Barrier,Not a Barrier,Small Barrier,Small Barrier,Small Barrier,Small Barrier,Small Barrier,Small Barrier,Small Barrier,Small Barrier,Small Barrier,Small Barrier,"Noon 



",n/a,Fear of repraisal if ask ,Fear of Asking,Domestic duty child work ,Domestic Duties,State of Mind of the people in this areas,Mindset of Gov Offical,More sensitization is needed in that area ,Most time the women are afraid cause of  the of Stay,Very Important,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,ll this issues helps the Democratic process it,Very Important,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"If all this issues are address,that will help the Dem",Technically education,Technology Training,Leon facilities ,Other,Educational opportunities ,Education,All of us must come together  and make and work on this issues ,Yes ,n/a,vzDogTF4K4rZB6rUJRhmkz,uuid:1fb873d4-02a6-4f4b-a100-a3f8b5a3cce7,111181612,1fb873d4-02a6-4f4b-a100-a3f8b5a3cce7,2023-03-20T12:07:35,2023-03-20T12:07:35,
2023-02-28T17:04:37.459Z,2023-02-28T17:34:59.459Z,2023-02-28T17:24:00.000Z,Bombali,1,0.559501581,Yonie village ,Rural,Academic Professor,n/a,Male,Senior Management member,Nasit,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,n/a,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,No,Most of women don't have the zeal to go and seek for information ,Yes,n/a,Yes,n/a,Yes,n/a,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,n/a,Small Barrier,Small Barrier,Small Barrier,Small Barrier,Small Barrier,Small Barrier,Small Barrier,Small Barrier,Small Barrier,Small Barrier,Small Barrier,Small Barrier,Small Barrier,Small Barrier,Noon ,Yes ,The level of illiteracy ,Illiteracy,Fear of repraisal when asking for information ,Fear of Asking,Domestic work ,Domestic Duties,Both the Government and the educated people needs to encouraged the women to come out and ask for information without fear of repraisal ,"It will indered development, because the more you asked the more know about certain things.",Very Important,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,All of this rights are very important to modern Democracy ,Very Important,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"When all these right are achievable,the we say our society is known developing.",Job opportunities ,Job Opportunities,More educational opportunities,Education,Bank leons to women ,Access to Banks,More sensitization is needed in area of information seeking.,Yes ,n/a,vzDogTF4K4rZB6rUJRhmkz,uuid:c751eae9-a438-41e5-b848-5a9cfad4ab8b,111181618,c751eae9-a438-41e5-b848-5a9cfad4ab8b,2023-03-20T12:07:36,2023-03-20T12:07:36,
2023-03-06T17:25:17.642Z,2023-03-07T17:16:45.209Z,2023-03-06T17:45:00.000Z,Bombali,1,0.154238591,Makeni Town,Urban,Government Official,n/a,Male,Staff,Youth Commission,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,n/a,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Yes,n/a,Yes,n/a,Yes,n/a,Yes,n/a,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,n/a,Small Barrier,Small Barrier,Small Barrier,Small Barrier,Small Barrier,Small Barrier,Small Barrier,Small Barrier,Small Barrier,Small Barrier,Small Barrier,Small Barrier,Small Barrier,Small Barrier,Noon,n/a,Lack confidence to ask government,Confidence,Domestic child care,Domestic Duties,Fear of repraisal,Fear of Asking,They need to be looked at carefully,It will indered development,Important,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,All of the are important to modern Democracy,Important,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,All of them are needed,Increase Educational opportunities,Education,Access to bank loan,Access to Banks,Scholarships,Scholarships,We need to pay more attention to this issues,We all need to do more in the area of decemination of information,n/a,vzDogTF4K4rZB6rUJRhmkz,uuid:6eba528a-3fd3-4ff2-bd77-1f7d0ca91a59,111181708,6eba528a-3fd3-4ff2-bd77-1f7d0ca91a59,2023-03-20T12:07:53,2023-03-20T12:07:53,
2023-03-07T09:40:02.155Z,2023-03-07T10:17:13.986Z,2023-03-07T10:00:00.000Z,Bombali,1,0.016606903,Makeni Town ,Urban,Government Official,n/a,Female,Senior Saff,NRA ,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,n/a,Not at all,Not at all,Not at all,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,No,Most women are shy to ask for information ,Yes,n/a,Yes,n/a,Yes,n/a,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,n/a,Small Barrier,Small Barrier,Small Barrier,Small Barrier,Small Barrier,Small Barrier,Small Barrier,Small Barrier,Small Barrier,Small Barrier,Small Barrier,Small Barrier,Small Barrier,Small Barrier,Noon,n/a,Domestic work ,Domestic Duties,Lacks confidence to ask government for information ,Confidence,Fear of repraisal ,Fear of Asking,They needs to put key attention to this issues ,It will hundred development ,Very Important,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,All this issues are very important for any developed nations through out the world ,Very Important,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,This issues are important and all effort must be put to see that this issues are address ,Jobs opportunities ,Job Opportunities,Educational opportunities ,Education,Access to bank loans,Access to Banks,The government must key attention to this issues ,Comparative ,n/a,vzDogTF4K4rZB6rUJRhmkz,uuid:7ddb706b-b3d5-4e92-a8aa-fbf25b2783bf,111181718,7ddb706b-b3d5-4e92-a8aa-fbf25b2783bf,2023-03-20T12:07:55,2023-03-20T12:07:55,
2023-03-07T10:29:57.222Z,2023-03-07T13:59:08.785Z,2023-03-07T11:30:00.000Z,Bombali,1,0.541736141,Makeni Town ,Urban,NGO/International Community,n/a,Male,Team lead ,Care,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,n/a,Very,Somewhat,Not at all,Not at all,Somewhat,Somewhat,Somewhat,Somewhat,No,Because they themselves are sometimes ignored to ask for information ,Yes,n/a,Yes,n/a,Yes,n/a,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,n/a,Small Barrier,Small Barrier,Small Barrier,Small Barrier,Small Barrier,Small Barrier,Small Barrier,Small Barrier,Small Barrier,Small Barrier,Small Barrier,Not a Barrier,Not a Barrier,Not a Barrier,n/a,n/a,Domestic child care ,Domestic Duties,Lack the confidence to ask for information ,Confidence,Fear for repraisal ,Fear of Asking,Government should improve on discentrialization,Not be able to get them on decision making and they always see themselves as leftout,Very Important,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,n/a,Very Important,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,n/a,Vocational training ,Vocational Training,Job opportunities ,Job Opportunities,Educational opportunities ,Education,"Try to decentralized,in other to meet the last man In other remote areas",n/a,n/a,vzDogTF4K4rZB6rUJRhmkz,uuid:719af9de-86ae-4c29-958f-3cd917d15111,111181725,719af9de-86ae-4c29-958f-3cd917d15111,2023-03-20T12:07:56,2023-03-20T12:07:56,
2023-03-07T14:10:33.124Z,2023-03-07T14:27:01.135Z,2023-03-07T14:31:00.000Z,Bombali,1,0.619111,Makeni Town ,Urban,NGO/International Community,n/a,Female,Finance Manager ,Sinof to,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,n/a,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Yes,Their is no segregation in sharing information ,Yes,n/a,Yes,n/a,Yes,n/a,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,n/a,Small Barrier,Small Barrier,Small Barrier,Small Barrier,Small Barrier,Small Barrier,Small Barrier,Don't Know,Don't Know,Don't Know,Don't Know,Don't Know,Don't Know,Don't Know,Noon,n/a,Repraisal from government officials ,Fear of Asking,Domestic duty ,Domestic Duties,Lack confidence in seeking information ,Confidence,This issues need to be looked at kingly ,It would indered development ,Very Important,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,We the women need 70 percent to government and non government offices ,Very Important,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,Noon ,Educational opportunities ,Education,Job opportunities ,Job Opportunities,Vocational training ,Vocational Training,Noon ,n/a,n/a,vzDogTF4K4rZB6rUJRhmkz,uuid:e56b9851-77e6-4089-9b69-28cee73aa87b,111181731,e56b9851-77e6-4089-9b69-28cee73aa87b,2023-03-20T12:07:57,2023-03-20T12:07:57,
2023-03-07T14:44:33.828Z,2023-03-07T15:04:20.175Z,n/a,Bombali,1,0.329927525,Makeni Town ,Rural,Government Official,n/a,Male,District Officers ,T SC Teaching Service Commission ,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,n/a,Somewhat,Very,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,No, Religious barrier and lack of economic freedom ,Yes,n/a,Yes,n/a,Yes,n/a,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,n/a,Small Barrier,Small Barrier,Small Barrier,Small Barrier,Small Barrier,Small Barrier,Small Barrier,Small Barrier,Small Barrier,Small Barrier,Small Barrier,Small Barrier,Small Barrier,Small Barrier,Noon ,n/a,Domestic duty ,Domestic Duties,Fear of repraisal ,Fear of Asking,Lack of confidence to seek for information ,Confidence,Women need to be educated and that will make them well informed ,That would affect the development of the country ,Very Important,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Government need to do more on Decentralized ,Very Important,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Government need to decentralized the activities ,Job opportunities ,Job Opportunities,Educational opportunities ,Education,Vocational training ,Vocational Training,n/a,n/a,n/a,vzDogTF4K4rZB6rUJRhmkz,uuid:577e06e1-60c8-409f-8ba5-8e89d3b466b4,111181739,577e06e1-60c8-409f-8ba5-8e89d3b466b4,2023-03-20T12:07:58,2023-03-20T12:07:58,
2023-03-07T15:58:15.946Z,2023-03-07T17:15:07.568Z,2023-03-07T16:18:00.000Z,Bombali,1,0.553785828,Makeni Town,Urban,NGO/International Community,n/a,Male,Admin Officer,Sierra Leone  Red Cross,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,n/a,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,No,Government need to Decentralized developmential activities,n/a,n/a,Yes,n/a,Yes,n/a,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,n/a,Small Barrier,Small Barrier,Small Barrier,Small Barrier,Small Barrier,Small Barrier,Small Barrier,Small Barrier,Small Barrier,Don't Know,Don't Know,Don't Know,Don't Know,Don't Know,Noon,n/a,Lack the confidence to ask government for information,Confidence,Domestic work,Domestic Duties,Fear of repraisal,Fear of Asking,Government need to enforce the policy if Decentralization,It would indered development,Very Important,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,All of this rights are important toward women development,Important,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,n/a,How to start a business for those who are not educated,How to Start a Buisness,Job opportunities,Job Opportunities,Educational opportunities,Education,Government should try to enforce some of this facilities,n/a,n/a,vzDogTF4K4rZB6rUJRhmkz,uuid:13a5a255-fb7e-488a-b069-f0817ea14480,111181749,13a5a255-fb7e-488a-b069-f0817ea14480,2023-03-20T12:08:00,2023-03-20T12:08:00,
2023-03-07T16:44:14.962Z,2023-03-07T17:12:04.515Z,2023-03-07T17:04:00.000Z,Bombali,1,0.260457843,Makeni Town ,Urban,Government Official,n/a,Male,Labor Officer Northern Region ,Ministry of Labor ,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,n/a,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,No,Cultural Limitations indered access to information ,Yes,n/a,Yes,n/a,Yes,n/a,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,n/a,Small Barrier,Small Barrier,Small Barrier,Small Barrier,Small Barrier,Small Barrier,Small Barrier,Small Barrier,Small Barrier,Small Barrier,Small Barrier,Small Barrier,Small Barrier,Don't Know,Noon,n/a,Fear of repraisal ,Fear of Asking,Domestic work child care ,Domestic Duties,Illtracy,Illiteracy,Government need to Decentralized the System ,That will hindered the development of women ,Very Important,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Government must look at this issues with key attention.,Very Important,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,Government needs to do more in the area of Decentralization.,Educational opportunities,Education,Job opportunities ,Job Opportunities,Teacher women how to start a business ,How to Start a Buisness,Women Access to information help the women to develop them selves ,n/a,n/a,vzDogTF4K4rZB6rUJRhmkz,uuid:842a5fe1-7db7-48cc-abf4-33ed128c6e14,111181761,842a5fe1-7db7-48cc-abf4-33ed128c6e14,2023-03-20T12:08:02,2023-03-20T12:08:02,
2023-03-08T09:30:15.116Z,2023-03-08T09:55:32.423Z,2023-03-08T09:50:00.000Z,Bombali,1,0.629611579,Makeni Town ,Urban,Government Official,n/a,Male,Regional Director ,Campaign for Good Governance ,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,n/a,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,No,Most women are disinterested in seeking for information due to cultural barrier ,Yes,n/a,Yes,n/a,Yes,n/a,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,n/a,Small Barrier,Small Barrier,Small Barrier,Small Barrier,Small Barrier,Small Barrier,Small Barrier,Small Barrier,Small Barrier,Small Barrier,Small Barrier,Small Barrier,Large Barrier,Large Barrier,Noon ,Yes,Fear of repraisal,Fear of Asking,Lack the confidence to ask for information ,Confidence,Domestic work child care ,Domestic Duties,Good should put more strength on Decentralization and proper monitoring process,It would indered development because they are are not actively participate in the governance process ,Very Important,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,All of these are important towards development for women.,Very Important,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,All this issues played key role towards r,Vocational training shot,Vocational Training,Educational opportunities ,Education,Job opportunities ,Job Opportunities,Government needs to do more in this area of a human ,n/a,n/a,vzDogTF4K4rZB6rUJRhmkz,uuid:7458129c-eeb9-40f0-b8df-c19fc3f682c9,111181776,7458129c-eeb9-40f0-b8df-c19fc3f682c9,2023-03-20T12:08:04,2023-03-20T12:08:04,
